node_id,longitude,latitude
295,126.6915928,45.7507890
296,126.6918875,45.7506485
297,126.6920868,45.7505209
298,126.6922849,45.7503986
299,126.6925972,45.7502404
300,126.6927903,45.7501794
301,126.6932504,45.7504020
302,126.6913709,45.7520101
303,126.6902275,45.7518640
304,126.6762485,45.7268227
305,126.6765869,45.7269006
306,126.6621962,45.7624611
307,126.6622261,45.7618755
308,126.6622057,45.7622759
309,126.6711872,45.7515932
310,126.6707174,45.7549810
311,126.6709416,45.7533641
312,126.6276267,45.7838664
313,126.6462520,45.7931368
314,126.6279259,45.7839539
315,126.6297414,45.7844760
316,126.6315287,45.7857755
317,126.6333433,45.7867330
318,126.6351162,45.7876505
319,126.6353579,45.7877779
320,126.6356103,45.7879091
321,126.6374647,45.7888797
322,126.6388746,45.7896106
323,126.6403845,45.7904419
324,126.6418246,45.7911592
325,126.6419112,45.7912058
326,126.6432998,45.7919653
327,126.6868749,45.7565217
328,126.6856171,45.7560908
329,126.6869534,45.7562385
330,126.6900759,45.6935570
331,126.6874167,45.6959640
332,126.5325415,45.8462265
333,126.5320675,45.8366524
334,126.5319454,45.8368261
335,126.6614306,45.6686958
336,126.6683844,45.6696519
337,126.6635244,45.6689404
338,126.5979179,45.7152433
339,126.5975004,45.7089523
340,126.5978498,45.7121129
341,126.6830449,45.7719710
342,126.6831008,45.7710153
343,126.6607644,45.7066387
344,126.6651748,45.7068905
345,126.6882337,45.7963421
346,126.6889287,45.7984325
347,126.6717765,45.7954736
348,126.6716829,45.7920389
349,126.6676764,45.7817665
350,126.6650852,45.7822908
351,126.6664808,45.7820067
352,126.6577485,45.7351554
353,126.6338565,45.7520595
354,126.6354173,45.7533959
355,126.6340091,45.7521897
356,126.6344019,45.7525246
357,126.6345414,45.7526435
358,126.6346878,45.7527683
359,126.6348359,45.7528946
360,126.6353272,45.7533134
361,126.6271928,45.6952243
362,126.6271685,45.6935666
363,126.5636154,45.7748407
364,126.5626344,45.7755579
365,126.5634349,45.7749727
366,126.5632701,45.7750932
367,126.5630895,45.7752252
368,126.5628534,45.7753978
369,126.5528595,45.7174870
370,126.5544002,45.7198000
371,126.5542329,45.7179109
372,126.5544252,45.7180365
373,126.5546228,45.7181657
374,126.5553660,45.7190568
375,126.5550363,45.7193017
376,126.5547107,45.7195568
377,126.6866668,45.7519723
378,126.6884187,45.7521943
379,126.6875937,45.7520899
380,126.6443247,45.7606994
381,126.6456717,45.7618416
382,126.5919221,45.7379238
383,126.5905430,45.7384287
384,126.5914549,45.7380940
385,126.5913967,45.7381152
386,126.5464490,45.8146495
387,126.5463007,45.8151396
388,126.5614936,45.7416191
389,126.5680422,45.7424927
390,126.5631412,45.7418389
391,126.5659987,45.7422200
392,126.5676975,45.7424466
393,126.6792388,45.8252991
394,126.6783467,45.8259828
395,126.6791417,45.8253734
396,126.6098377,45.7407841
397,126.6105970,45.7413583
398,126.6103681,45.7425993
399,126.6110473,45.7428300
400,126.6316164,45.7615405
401,126.6320730,45.7621008
402,126.6314164,45.7616146
403,126.6274126,45.7804647
404,126.6304941,45.7814155
405,126.6298960,45.7812435
406,126.6329482,45.7773201
407,126.6266964,45.7720583
408,126.6328351,45.7772875
409,126.6322126,45.7769366
410,126.6320710,45.7767654
411,126.5142040,45.6941446
412,126.5138181,45.6938214
413,126.5139684,45.6937016
414,126.5144581,45.6938286
415,126.5144348,45.6940272
416,126.5732928,45.7279344
417,126.5746087,45.7287682
418,126.7191140,45.7448121
419,126.7193198,45.7448108
420,126.5190329,45.7421814
421,126.5184194,45.7420899
422,126.5910832,45.7367597
423,126.5832881,45.7309153
424,126.5854090,45.7322554
425,126.5839347,45.7313092
426,126.6912754,45.7509927
427,126.6910267,45.7519032
428,126.6911489,45.7514556
429,126.6308107,45.7609070
430,126.6305267,45.7605529
431,126.6398602,45.8146137
432,126.6385899,45.8146125
433,126.6779642,45.7294811
434,126.6806444,45.7300227
435,126.6790781,45.7297053
436,126.6793943,45.7297689
437,126.6802814,45.7299473
