node_id,longitude,latitude
412767435,126.6512259,45.7907752
412767436,126.6529127,45.7912757
412767437,126.6548077,45.7918421
412767715,126.6642203,45.7947485
412767718,126.675686,45.7982897
412768762,126.6816267,45.7979124
412769196,126.6735045,45.8014114
412770466,126.67528,45.7990714
412772641,126.6703904,45.7977447
412772645,126.6660131,45.7967674
412772659,126.6504214,45.7954521
412772661,126.6483635,45.7947419
412772664,126.6424155,45.7928494
412772665,126.6407991,45.7922136
412772667,126.6393278,45.7914142
412772668,126.6378959,45.7904925
412772669,126.6365854,45.7897111
412772671,126.632789,45.7872832
412772857,126.6414432,45.7872501
412774484,126.6642184,45.7948824
412774895,126.6637242,45.7933194
412774901,126.6594127,45.7891328
412774902,126.6570724,45.7883843
412775016,126.6542477,45.7918019
412775020,126.6588049,45.7851737
412775458,126.6626013,45.7844786
412775807,126.6718311,45.7828119
412775809,126.6684157,45.7834622
412780508,126.6483652,45.782757
412780511,126.6445743,45.7887448
412780756,126.6511809,45.7811242
412780759,126.6440823,45.7795147
412947208,126.7715709,45.6759426
412947215,126.7664167,45.688742
412947217,126.7664135,45.692236
412947293,126.7522003,45.6710673
412947295,126.7798106,45.6760086
412947341,126.7785833,45.6760689
412947614,126.7784974,45.6749591
412947640,126.7768234,45.6761554
412947672,126.7767773,45.6757329
412947674,126.7785225,45.675283
412947675,126.7800252,45.675193
412947876,126.7785518,45.6756613
412947877,126.7800424,45.6755588
412948265,126.780566,45.6778977
412948268,126.7811839,45.6778677
412948278,126.7798492,45.6764649
412948282,126.7817848,45.6765004
412948284,126.7805145,45.6764764
412948291,126.7814077,45.675807
412948398,126.7798785,45.6768123
412948417,126.7805145,45.6768122
412948418,126.7810638,45.6768362
412948419,126.7815788,45.6768242
412948421,126.7804505,45.6759278
412948674,126.7816185,45.6777076
414087381,126.7705095,45.7022405
414090506,126.7100518,45.6776352
414091159,126.7158481,45.6737662
414092274,126.7207696,45.6798781
414093187,126.7226675,45.6843327
414093196,126.7299545,45.6860596
414093206,126.7385024,45.6906418
414093209,126.745344,45.6878164
414093211,126.7460993,45.686881
414093226,126.7600954,45.673045
415667682,126.7587222,45.7312873
415985176,126.6415685,45.6779988
415985177,126.6417085,45.6780109
415985183,126.6520253,45.6795295
415992975,126.6422273,45.6757065
415992997,126.6370405,45.6986765
415993004,126.6420375,45.675686
415993551,126.6372881,45.6982788
415993554,126.6372348,45.6987008
415993694,126.6323767,45.6980444
415993696,126.6285675,45.6976756
415993697,126.6371115,45.698256
415993698,126.6286292,45.6974408
415993700,126.6324128,45.697881
415993762,126.6095544,45.6956595
415993763,126.6282234,45.6976369
415993764,126.6194627,45.6967159
415993765,126.6146807,45.696202
415993767,126.6099271,45.6956991
415993780,126.6099874,45.6954785
415993785,126.6147271,45.6959859
415993787,126.6195018,45.6964803
415993788,126.6282756,45.6974123
415993794,126.6260343,45.6971603
415993843,126.6262408,45.6962545
415993850,126.6255256,45.6903709
415993913,126.6291294,45.695153
415993915,126.6280586,45.6999923
415993917,126.6267325,45.7043989
415993920,126.6180237,45.7034867
415994008,126.6180646,45.7032138
415994009,126.6207289,45.7035178
415994010,126.6238672,45.7038529
415994011,126.6267915,45.7041548
415994012,126.6276728,45.6999568
415994014,126.6287573,45.6951199
415994292,126.6113946,45.7027684
415994294,126.6080971,45.7024621
415994309,126.6185134,45.7014002
415994312,126.6163946,45.7109556
417642402,126.570231,45.6750096
417643350,126.580131,45.6886848
417643357,126.5889972,45.7002997
417643359,126.5873749,45.7077547
417643361,126.5874094,45.7140615
417643362,126.5876287,45.7140328
417643365,126.605461,45.7157884
418792978,126.5522147,45.6709986
418795681,126.5366155,45.6972376
418795936,126.5416508,45.7008229
418796248,126.5434571,45.7056289
418803812,126.5307627,45.6991184
418805076,126.5496539,45.7067225
418805147,126.5441732,45.7026085
418808470,126.5547563,45.7105178
493138058,126.6626325,45.7622752
567877248,126.6041082,45.774538
567877257,126.5970994,45.770464
604389297,126.6111542,45.7591393
610579522,126.6053692,45.7725926
610579525,126.6150524,45.7566805
610579529,126.6226662,45.7680781
610579530,126.6203102,45.7675769
610579532,126.6075298,45.7732119
610579533,126.6120114,45.7757549
610579534,126.615131,45.7761152
610579586,126.5856231,45.8183199
665770255,126.6516917,45.7962401
665772905,126.6376341,45.8199174
665776439,126.6072198,45.8227623
665776447,126.6180423,45.8080266
677292302,126.6142813,45.7625975
677292304,126.6160737,45.7629583
677292305,126.6188263,45.7635221
